what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1302165860567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165864638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165868128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165870262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165914440
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302165921171
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302165921248
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302165923012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165931028
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1302165933328
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1302165933413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165956425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1302165956472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165959652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165964902
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302165996588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302165998523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166000259
error,log,,,"Unhandled event loop exception",1302166000274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166006941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166015774
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302166015796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166018319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166020632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166025196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166117448
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166118753
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1302166122631
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1302166122688
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302166132206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166135632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166139242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1302166139253
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166141898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166143945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302166143953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166147222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166166702
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166169417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166171804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166190774
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302166190800
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166192211
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302166201618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166203747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166279189
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166279430
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166279561
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1302166279985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166285060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166303289
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166303461
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166303493
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166310614
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302166314802
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166318158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166328662
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166328794
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166328904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166330940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166340126
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166340308
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302166350898
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1302166355619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166363316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166365205
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1302166451496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166451770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166792438
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302166792450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302166794990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302167070239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302167072979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302167076502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302167081011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302167196381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302167198068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302167208830
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302167208877
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302167227799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172477835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172496110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172507432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172532479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172537572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302172564551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302172585343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172598354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172601336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302172602558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172679389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172681399
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1302172682232
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1302172682259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172688171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172688357
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1302172704266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172724025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172728151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172778492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172795183
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1302172796320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302172799636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302172801274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172810974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172821417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172825322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172825523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302172845005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173121991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173156469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173161983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302173185277
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302173190906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173196118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173212648
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302173212824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302173234041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173236668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173269983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173282908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173291631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173300348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173305839
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302173344311
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302173350913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302173358309
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302173363828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302173384432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302173384563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302173384690
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302173384871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173393914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173395057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173399228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173438015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173439581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173498432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173513251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173518462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302173532473
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1302173535508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173549486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173552970
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1302173552983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302173555396
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302173567292
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302173569692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173577591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173582529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1302173582540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1302173594292
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302173596683
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302173601647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173606530
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302173609914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173610079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302173610093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173614000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302173623155
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302173623451
