what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302273729771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302273731532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302274901382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302274907090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302274972780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275012700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275048721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302275070915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275076905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275076931
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302275093949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275097948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275113011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1302275113780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302275114150
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275189822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275217634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275224155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275708322
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302275708348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275709995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275723466
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302275724402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1302275772149
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1302275772181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1302275772280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302275777331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275782071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275783279
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302275783565
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302275783566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275788189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302275799298
